# Traducciones de UI de DCSS - Combate
# Fuente: fight.cc, melee-attack.cc, ranged-attack.cc, attack.cc, throw.cc
# Formato: Texto Inglés|Texto Español
# ============================================================================

's weak point|punto débil de
whirl of blades|torbellino de cuchillas
with an invisible shield|con un escudo invisible
you return to your previous form.|vuelves a tu forma anterior.
your the Royal Jelly|tu Jalea Real

# ============================================================================
# Mensajes de combate dinámicos (con %s para nombres de monstruos)
# ============================================================================
%s %s %s attack.|%s %s %s ataque.
%s %s %s but %s no damage.|%s %s %s pero %s sin daños.
%s %s %s ground!|%s %s %s tierra!
%s %s %s last head off!|%s %s %s última cabeza apagada!
%s %s %s vigour!|%s %s %s vigour!
%s %s %s!|%s %s %s!
%s %s %s%s|%s %s %s%s
%s %s %s%s%s|%s %s %s%s%s
%s %s %s.|%s %s %s.
%s %s afflicted by dizzying energies!|%s %s afligido por energías mareadas!
%s %s backwards!|%s %s atrás!
%s %s engulfed in a cloud of dizzying spores!|%s %s envuelto en una nube de esporas vertiginosas!
%s %s engulfed in a cloud of soporific spores!|%s %s envuelto en una nube de esporas soporíficas!
%s %s engulfed in flames%s|%s %s envolvido en llamas%s
%s %s held in place!|%s %s mantenido en tu lugar!
%s %s life force from %s%s|%s %s fuerza de vida de %s%s
%s %s one of %s heads off!|%s %s una de las cabezas de %s!
%s %s shatters into small pieces.|%s %s rompe en piezas pequeñas.
%s %s skewered by barbed spikes.|%s %s esquejado por espigas de púas.
%s %s vitality from %s injuries!|%s %s vitalidad de lesiones %s!
%s %s%s|%s %s%s
%s %s%s %s%s%s%s%s|%s %s%s %s%s%s%s%s
%s and strikes %s%s|%s y huelgas %s%s
%s appears from out of thin air!|%s aparece de fuera del aire delgado!
%s appears from out of your range of vision.|%s aparece de fuera de tu gama de visión.
%s blocks the %s with %s %s... and reflects it back!|%s bloquea el %s con %s %s.. y lo refleja de nuevo!
%s blocks the %s.|%s bloquea el %s.
%s crush%s %s against the %s%s|%s aplasta%s %s contra el %s%s
%s drags %s backwards!|%s arrastra %s hacia atrás!
%s drains %s %s.|%s drena %s %s.
%s draws strength from your wounds!|%s saca fuerza de tus heridas!
%s fails to defend %s.|%s no defiende %s.
%s fire resistance burns away.|La resistencia al fuego %s se quema.
%s fire resistance is stripped away!|¡La resistencia al fuego %s está despojada!
%s is blasted smooth%s|%s es lisa de explosión %s
%s is completely immune to your confusing touch!|%s es completamente inmune a tu toque confuso!
%s is dispelled%s|%s es dispelled%s
%s is healed.|%s está curado.
%s is seared by the foul flame within you%s|%s es sellado por la llama del alma dentro de ti%s
%s is struck blind by the light of your shield.|%s es golpeado ciego por la luz de tu escudo.
%s mind%s blasted%s|%s mind%s blasted%s
%s poisons %s!|¡PlH1 venenos %s!
%s seems less certain of %s magic.|%s parece menos cierto de la magia %s.
%s strikes at %s from the darkness!|%s golpea a %s de la oscuridad!
%s turn%s aside %s attack!|%s turn%s aparte ataque %s!
%s writhes in agony%s|%s escribe en agonía%s
%s%s misses %s.|%s%s pierde %s.
A stygian plague fills %s body.|Una plaga estigiana llena el cuerpo de %s.
Faint brimstone surges around %s!|Faint brimstone surge alrededor de %s!
It tastes like %s.|Sabe como %s.
Something tries to affect you, but you %s.|Algo intenta afectarte, pero tú %s.
The %s %s %s%s%s%s|%s %s %s%s%s%s
The %s reflects off an invisible shield around %s!|¡El %s refleja un escudo invisible alrededor del %s!
The bolas passes through %s!|¡Las bolas pasan por %s!
The bolas warps around %s and binds %s in place!|Las bolas caen alrededor del %s y unen el %s en tu lugar!
The eyeballs on your body gaze at %s.|Los globos oculares en tu cuerpo miran al %s.
The magic binding %s to this plane unravels!|¡El %s mágico a este plano se desenvuelve!
The mercury splashes!|¡El mercurio brota!
You %s %s from behind!|¡ %s %s por detrás!
You %s %s%s%s%s%s%s|%s %s%s%s%s%s%s
You %s %s%s.| %s %s%s.
You attempt to attack %s, but flinch away in fear!|¡Intentas atacar a %s, pero aflojar en miedo!
You block the %s... and reflect it back!|Bloqueas el %s... y lo reflejan de nuevo!
You cannot shoot with your %s while %s.|No puedess disparar con tu %s mientras que %s.
You cannot throw/fire anything while %s.|No puedess tirar / disparar cualquier cosa mientras %s.
You catch %s completely off-guard!|¡Atrapas a %s completamente fuera de la guardia!
You devour %s%s!|¡Devoras %s%s!
You drain %s %s.|Drenas %s %s.
You feel %sfirmly anchored in space.|Sientes %sfirmly anclado en el espacio.
You feel life coursing into your body%s|Sientes la vida coursing en tu cuerpo%s
You knock %s out of %s grip!|¡Nombras a %s fuera de la empuñadura de %s!
You pounce on the unaware %s!|¡Ponga en el %s inconsciente!
You sap %s willpower!|¡Sap %s fuerza!
You sink your fangs into %s and drain %s dry!|Hundes sus colmillos en %s y drena %s seco!
You sink your fangs into %s and drink %s %s.|Hundes sus colmillos en %s y beber %s %s.
You spit out %s as %s %s y %s in your maw!|Escupes a %s como %s %s %s en tu mandíbula!
Fallas a %s%s.|Fallas a %s%s.
Your %s blocks the %s... and reflects it back!|Tu %s bloquea el %s y lo refleja de nuevo!
Your paragon deflects %s attack away from you.|Tu paragón desvía el ataque %s lejos de ti.
Your tendrils lash around %s %s and pull it to the ground!|¡Tus pañuelos se agitan alrededor de %s %s y lo tiran al suelo!
Your will lashes out at %s%s|Tu testamento se desvanece en %s%s
your slimy shroud breaks as it bends %s attack away%s|tu sudario viscoso rompe mientras dobla el ataque %s de distancia %s

# ============================================================================
# 362 mensajes de combate/objetos/hechizos traducidos
# ============================================================================
item #%d:  base: %d; sub: %d; plus: %d; plus2: %d; special: %d|ítem #%d: base: %d; sub: %d; más: %d; plus2: %d; especial: %d
...and %s %s out!|...y %s %s fuera!
...but somehow remain%s in the same place.|...pero de alguna manera permanecen en el mismo lugar.
<cyan>Lucky! %s was actually %s</cyan>!|Identificado ¡Suerte! %s era en realidad %s buscado/cyanilo!
A beckoning whirlwind drags %s forward!|¡Un torbellino deslumbrante arrastra %s hacia adelante!
A beckoning whirlwind swirls around %s.|Un torbellino torbellino gira alrededor de %s.
A blast of power from the earth%s strikes %s!|¡Una explosión de poder de la tierra%s golpea a %s!
A crocodile bursts forth beneath %s and grabs %s in its jaws!|¡Un cocodrilo sale bajo %s y agarra %s en sus mandíbulas!
A flurry of magic pours from %s injured body!|¡Un rayo de magia derramada por el cuerpo herido de %s!
A fragment of %s is already outside their body!|¡Un fragmento de %s ya está fuera de tu cuerpo!
A fragment of %s soul is dislodged from %s body.|Un fragmento de alma %s está deslegada del cuerpo %s.
A freezing vortex appears %s%s%s!|¡Un vórtice de congelación aparece %s%s%s!
A giggling sprite leaps out and %s|Un gran sprite salta y %s
A great freezing vortex %s.|Un gran vórtice de congelación %s.
A magical hammer augments %s in a flurry of sparks and slag.|Un martillo mágico aumenta %s en un rayo de chispas y hollín.
A nearby %s perishes wretchedly.|Un %s cercano perece miserablemente.
A pair of sphinxes answers %s call!|Un par de esfinges respuestas %s llamada!
A prism of %s energy appears from nowhere!|¡Un prisma de la energía %s aparece de la nada!
A searing pain shoots up your %s!|¡Un dolor de costura dispara tu %s!
A slime creature is ejected from %s body as it begins to warp and change.|Una criatura slime es expulsada del cuerpo %s mientras comienza a warp y cambiar.
A stygian plague fills %s body.|Una plaga estigiana llena el cuerpo de %s.
Ambiguous: can be spell '%s' or school '%s'.|Ambigua: puede ser el hechizo '%s' o la escuela '%s'.
Angry insects surge out from beneath %s foliage!|Insectos enojados surgen de debajo del follaje %s!
Another %s is drawn to the feast!|Otro %s es atraído a la fiesta!
As %s %s, the sound returns.|Como %s %s, el sonido regresa.
As %s mount dies, %s plunges down into %s!|Como el montaje %s muere, %s se hunde en %s!
Autopickup disabled for %s.|Autopickup deshabilitado para %s.
Autopickup is now %s.|Autopickup es ahora %s.
Being near %s leaves you feeling lethargic.|Estar cerca de %s te deja sentir letárgico.
Can't change to invalid xl %d|No se puede cambiar a xl %d inválido
Can't find map named '%s'.|No puedo encontrar el mapa llamado '%s'.
Cancelling %s due to HUP.|Cancelación de %s por HUP.
Chaos surges forth from %s of flesh, awakening new unlife!|El caos surge de %s de carne, despertando nueva vida!
Char dumped to '%s'.|Char se fue a '%s'.
Clearing the skill training target for %s.|Limpiar el objetivo de capacitación de habilidades para %s.
Cost level: %d  Total experience: %d  Next cost level: %d Skill cost: %d|Nivel de coste: %d Experiencia total: %d Nivel de coste siguiente: %d Costo de habilidad: %d
Created %s.|Creado %s.
Creating %sstairs.|Creando %sstairs.
Current progress to next sacrifice: %d  Progress needed: %d|Progreso actual al siguiente sacrificio: %d Progreso necesario: %d
Detected %i monster%s.|Detectado %i monstruo%s.
Dismissed %i monster%s.|Desestimado %i monstruo%s.
Doom befalls %s.|Doom cae %s.
Ego '%s' is invalid for %s.|Ego '%s' es inválido para %s.
Examining random maps at %s|Examinar mapas aleatorios en %s
Experience level set to %d.|Nivel de experiencia establecido en %d.
Explore took %d turns.|Explore tomó turnos de %d.
Faint brimstone surges around %s!|Faint brimstone surge alrededor de %s!
Fighting %s with %s\n|%s de lucha con %s\n
Flame seeps out of %s.|Víboras de llama de %s.
Found %s|Encontrado %s
Found %s %s.|Encontrado %s %s.
God gift of %s.|Dios don de %s.
Held by monster #%d: %s at (%d,%d)|Celebrada por el monstruo #%d: %s en (%d,%d)
I'm sorry, level %d is as high as you can go.|Lo siento, el nivel %d es tan alto como puedas.
If you died right now, you'd get an extra life in %d.%02d levels' worth of XP.|Si murieras ahora, tendrías una vida extra en los niveles de %d.
Improving (%d,%d) to total dist %d|Mejoramiento (%d,%d) para el total de dist %d
In your confused state, you trip and fall %s%s.|En tu estado confuso, tú tropieza y cae %s%s.
It %s %s.|%s %s.
It tastes like %s.|Sabe como %s.
It was %s.|Era %s.
Jet-black ravens fly out from beneath %s foliage!|Los cuervos de Jet-black vuelan desde debajo del follaje %s!
Key pressed, stopping %s.|Llavero presionado, parando %s.
Level build method = %s, level layout type  = %s, absdepth0 = %d|Método de construcción de nivel = %s, tipo de distribución de nivel = %s, abs profundidad0 = %d
Lightning arcs from %s %s!|Arcos de relámpago de %s %s!
Magical energy flows from %s into your mind!|¡La energía mágica fluye de %s en tu mente!
Magnetic shrapnel attaches itself to %s.|La metralla magnética se adhiere a %s.
Mmmm... tastes like %s.|Mmmm... sabe como %s.
Monster %s (pp: %d, %d) is now patrolling to (%d, %d)|Monster %s (pp: %d, %d) ahora está patrullando a (%d, %d)
Monster %s is patrolling around (%d, %d).|Monster %s está patrullando alrededor (%d, %d).
Monster %s reached target (%d, %d)|Monster %s alcanzó el objetivo (%d, %d)
Need a path for %s from (%d, %d) to (%d, %d), max. dist = %d|Necesita un camino para %s de (%d, %d) a (%d, %d), max. dist = %d
No %squiver actions available for cycling.%s|No %squiver acciones disponibles para el ciclismo. %s
No builder logs are saved for %s.|No se guardan registros de constructores para %s.
No such ego as: %s|Ningún ego como: %s
Pain shudders through your %s!|Dolor escalofríos a través de tu %s!
Partly explored, %s.|Parte explorada, %s.
Piety needs to be between 0 and %d.|La piedad necesita estar entre 0 y %d.
Plague seeps from the dead %s.|%s.
Poisonous fumes billow around %s!|¡Los vapores venenosos se hunden alrededor de %s!
Returning (%d, %d) as best pos with total dist %d.|Volviendo (%d, %d) como mejor pos con total dist %d.
Rot billows forth from %s wounds!|¡Rot billows out from %s wounds!
Ru asks you to %s.|Ru te pide a %s.
Ru piety can't be greater than %d.|Ru piedad no puede ser mayor que %d.
Setting a skill training target for %s at %d.%d.|Establecer un objetivo de entrenamiento de habilidades para %s en %d. %d.
Shadowy forms rise from the deep at %s song!|Las formas sombrías surgen de lo profundo de la canción %s!
Shards of ice erupt from %s body!|¡Shards of ice erupt from %s body!
Shopping list: removing %s|Lista de compras: eliminación de %s
Something appears %s!|¡Algo aparece %s!
Something is blocking the %s!|¡Algo está bloqueando el %s!
Something merges into %s, and it vanishes!|¡Algo se fusiona en %s, y desaparece!
Something tries to affect you, but you %s.|Algo intenta afectarte, pero tú %s.
Something unseen %s|Algo invisible %s
Something unseen blocks growth in %s.|Algo invisible bloquea el crecimiento en %s.
Sorry, the spell '%s' is gone!|Lo siento, el hechizo '%s' se ha ido!
Sound effects are now %s.|Los efectos sonoros ahora %s.
Space contracts around you and %s and then re-expands violently!|Contratos espaciales alrededor de tú y %s y luego vuelve a explotar violentamente!
Space folds impossibly around %s blade!|El espacio se dobla imposiblemente alrededor de la hoja %s!
Spell '%s' has no disciplines.|Spell '%s' no tiene disciplinas.
Stolen life floods into %s!|¡La vida robada se inunda en %s!
Terrible wounds open up all over %s body!|¡Las heridas terribles se abren por todo el cuerpo de %s!
Terrible wounds spread across more of %s body!|¡Las heridas terribles se extendieron a través de más cuerpo de %s!
Thank you for shopping at %s!|¡Gracias por comprar en %s!
That put a bit of spring back into your %s.|Eso puso un poco de primavera en tu %s.
The %s %s %s!|¡El %s %s %s!
The %s %s %s%s but does no damage.|El %s %s %s%s pero no daña.
The %s %s %s%s%s%s|%s %s %s%s%s
The %s %s %s.|%s %s %s.
The %s arcs out of your line of sight!|¡Los arcos %s de tu línea de visión!
The %s bounces off of thin air!|¡El %s rebota de aire delgado!
The %s cannot attune %s to your%s body.|El %s no puede afinar %s a tu cuerpo.
The %s feel%s cold and inert.|El %s se siente frío e inerte.
The %s grounds out.|El %s está fuera.
The %s is repelled.|El %s es repelido.
The %s mimic %svanishes%s!|¡El %s mimic %svanishes%s!
The %s misses you.|El %s te falla.
The %s passes through %s.|El %s pasa por %s.
The %s reflects off an invisible shield around %s!|El %s refleja un escudo invisible alrededor de %s!
The %s shatters!|¡El %s se rompe!
The %s suddenly appears!|¡El %s aparece de repente!
The %s throb%s to your%s body.|El %s throb%s a tu cuerpo%s.
The %s%s flies open!|¡El %s%s vuela!
The %s%s misses %s.|El %s%s pierde %s.
The air sparks with electricity, shocking %s%s|El aire brilla con electricidad, %s%s impactante
The bloodstain on %s disappears!|¡La mancha de sangre en %s desaparece!
The bolas passes through %s!|¡Las bolas pasan por %s!
The bolas warps around %s and binds %s in place!|Las bolas caen alrededor de %s y unen %s en tu lugar!
The dungeon shakes around %s!|¡La mazmorra se sacude alrededor de %s!
The dying Royal Jelly spits out %s more jellies.|La jalea real moribunda escupe más jellies.
The electricity discharges through %s%s|La electricidad se descarga a través de %s%s
The eyeballs on your body gaze at %s.|Los globos oculares en tu cuerpo miran al %s.
The flames covering %s go out.|Las llamas que cubren %s salen.
The frigid air chills %s%s%s|El aire frito enfria %s%s%s
The grapnel comes loose from %s.|El grapnel viene suelto de %s.
The light of Elyvilon almost touches upon %s.|La luz de Elyvilon casi toca sobre %s.
The light of Elyvilon fails to reach %s.|La luz de Elyvilon no alcanza %s.
The long-dead rise up around %s.|La larga vida se eleva alrededor de %s.
The magic binding %s to this plane unravels!|¡El %s mágico a este plano se desentraña!
The net rips apart, and %s comes free!|La red se rompe, y %s viene libre!
The portal closes; %s is severed.|El portal se cierra; %s se corta.
The power to cast %s wells up from within.|El poder para lanzar pozos %s desde dentro.
The pull of %s song draws you forwards.|La atracción de la canción %s te dibuja hacia adelante.
The roots around %s sink back into the ground.|Las raíces alrededor de %s se hunden de nuevo en el suelo.
The sign of ruin forms upon %s!|¡El signo de la ruina se forma sobre %s!
The solar flare engulfs %s%s.|La llama solar engulfs %s%s.
The tentacle pulls %s backwards!|¡El tentáculo retrocede %s!
The terrible wounds on %s body vanish.|Las terribles heridas en el cuerpo %s desaparecen.
The vine drags %s backwards!|La vid arrastra %s hacia atrás!
The vines retreat back into %s.|Las vides retroceden al %s.
The wall freezes %s%s%s|La pared congela %s%s%s
The walls disappear%s!|¡Las paredes desaparecen!
The ward upon %s fades away.|La sala sobre %s se desvanece.
The water %s and strikes %s%s|El agua %s y huelga %s%s
The winds around %s calm down.|Los vientos alrededor del %s se calman.
The winds around %s start to calm down.|Los vientos alrededor de %s comienzan a calmarse.
The zombie hands holding %s return to the earth.|Las manos zombis que sostienen %s vuelven a la tierra.
There is %s there.|Ahí está %s.
There's a creature in the %s!|¡Hay una criatura en el %s!
There's a thick-headed creature in the %s!|¡Hay una criatura de cabeza gruesa en el %s!
There's something jamming the %s.|Hay algo que mete el %s.
Transforming right now would cause you to %s!|Transformar en este momento te llevaría a %s!
Two slime creatures merge to form %s.|Dos criaturas delgadas se fusionan para formar %s.
Unknown job: %s|Trabajo desconocido: %s
Unknown species: %s|Especies desconocidas: %s
Value: %d|Valor: %d
Vault being placed: %s|Vault siendo colocado: %s
Vines begin sprouting from %s.|Las vides comienzan a brotar de %s.
Waves of gravity draw inward%s%s.|Las olas de gravedad dibujan hacia adentro%s%s.
Waypoint %d assigned to %s.|Waypoint %d asignado a %s.
Waypoint %d re-assigned from %s to %s.|Waypoint %d reasigned from %s to %s.
Welcome back to %s!|¡Bienvenido a %s!
Welcome to %s!|¡Bienvenido a %s!
With Pikel's spell broken, his former %s freedom.|Con el hechizo de Pikel roto, tu antigua libertad %s.
With a metallic buzz, %s clockwork bee launches itself at %s.|Con un zumbido metálico, la abeja de relojería %s se lanza en %s.
Without enough magic to sustain it, your %s dissipates.|Sin suficiente magia para sostenerlo, tu %s disipa.
Writing '%s' into save.|Escribir '%s' para salvar.
X-ray vision %s.|Visión de rayos X %s.
Yes, %s is definitely a better name.|Sí, %s definitivamente es un mejor nombre.
Yoink! You pull the item%s towards yourself.|¡Yoink! Sacas el artículo%s hacia ti mismo.
You %s %s from behind!|¡%s %s por detrás!
You %s %s through the gate.|%s %s a través de la puerta.
You %s %s%s peal%s of thunder!|¡%s %s%s peal%s de trueno!
You %s %s%s%s%s%s%s|%s %s%s%s%s%s
You %s %s%s.|%s %s%s.
You %s %s.|%s %s.
You %s %swards.|%s %swards.
You %s a card...|%s una tarjeta...
You %s carefully through the %s.|%s cuidadosamente a través del %s.
You %s downwards.|%s hacia abajo.
You %s into a shaft and drop %d floor%s!|%s en un eje y soltar %d suelo%s!
You %s the %s water.|%s el agua de %s.
You %s the altar of %s.|%s el altar de %s.
You %s the toxic bog.|%s el bog tóxico.
You %s towards %s!|¡%s hacia %s!
You %sattack %s from above%s.|%sattack %s de arriba de Ph3.
You %sdetect the %s %s.|%sdetect el %s %s.
You also have %d voucher%s.|también tiene %d vale%s.
You are %d%% of the way to level %d.|es %d% de la manera de nivel %d.
You are %s empty-clawed.|es %s vaciado.
You are %s empty-handed.|Eres %s con las manos vacías.
You are %s empty-tentacled.|es %s vaciado.
You are a level %d %s %s.|es un nivel %d %s %s.
You are hurled through space towards %s monster%s!|¡Estás atravesado por el espacio hacia el %s monstruo%s!
You are splashed with acid%s%s|Estás salpicado de ácido%s%s
You are struck by an arc of lightning%s|Estás herido por un arco de relámpago %s
You are struck by an electric surge%s|es golpeado por un aumento eléctrico%s
You are too depleted to draw on your %s recklessly!|¡Estás demasiado agotada para dibujar en tu %s de forma imprudente!
You assemble %s and install it in your exoskeleton!|monta %s e instalarlo en tu exoskeleton!
You attack %s.|Ataque a %s.
You attempt to attack %s, but flinch away in fear!|¡Intentas atacar a %s, pero temblar de miedo!
You attempt to bind %s soul, but %s is merely a clone!|Intentas atar el alma %s, pero %s es simplemente un clon!
You beckon %s vexing sprites to accompany your attacks.|beckon %s sprites vexing para acompañar sus ataques.
You begin with %s%s%s.|Empiezas con %s%s%s.
You block %s.|bloquea %s.
You block %s... and reflect it back!|bloqueas el %s y lo reflejas de nuevo!
You block the %s.|bloqueas el %s.
You block the %s... and reflect it back!|¡Bloqueas el %s y lo reflexionas!
You briefly glimpse something next to %s.|brevemente vislumbra algo al lado del %s.
You bump into %s.|Te chocas con %s.
You can %s detect %s.|Puede detectar %s %s.
You can no longer %s %s!|¡Ya no puedes %s %s!
You can no longer hear %s singing!|¡Ya no puedes oír cantar %s!
You can only make a %s on a floor square.|Sólo se puede hacer un %s en una plaza de piso.
You can't %s into that!|¡No puedess meterte en eso!
You can't %s onto %s!|¡No puedess %s en %s!
You can't bribe %s or %s.|No puedess sobornar a %s o %s.
You can't bribe %s.|No puedess sobornar a %s.
You can't close doors while %s.|No puedess cerrar puertas mientras %s.
You can't place the storm on %s.|No puedess poner la tormenta en %s.
You can't repeat %s actions.|No puedess repetir acciones de %s.
You can't shaft yourself while %s.|No puedess tirarte mientras %s.
You can't transfer your ancestor with %s.|No puedess transferir tu antepasado con %s.
You cannot %s away from %s!|¡No puedes %s lejos de %s!
You cannot %s closer to %s!|¡No puedess %s más cerca de %s!
You cannot attack while %s.|No puedess atacar mientras %s.
You cannot blinkbolt away from %s!|¡No puedess alejarte de %s!
You cannot blinkbolt closer to %s!|¡No puedess acercarte a %s!
You cannot call out to %s while %s.|No puedess llamar a %s mientras que %s.
You cannot cast spells while %s!|¡No puedess lanzar hechizos mientras %s!
You cannot leap away from %s!|¡No puedess saltar de %s!
You cannot leap closer to %s!|¡No puedess saltar más cerca de %s!
You cannot move away from %s!|¡No puedess alejarte de %s!
You cannot move closer to %s!|¡No puedess acercarte a %s!
You cannot occupy %s.|No puedess ocupar %s.
You cannot shoot with your %s while %s.|No se puede disparar con tu %s mientras que %s.
You cannot speak a word of chaos while %s.|No puedess hablar una palabra de caos mientras %s.
You cannot throw/fire anything while %s.|no puede tirar / disparar cualquier cosa mientras %s.
You cannot wall jump while caught in a %s.|No puedess saltar de pared mientras te atrapan en un %s.
You catch %s completely off-guard!|¡Atrapa al %s completamente fuera de la guardia!
You challenge %s to single combat, but %s is merely a clone!|desafia %s a un combate único, pero %s es meramente un clon!
You close the %s%s%s.|Cierra el %s%s%s.
You create a dimensional link between your ranged weaponry and %s.|crea un vínculo dimensional entre tu armadura ampliada y %s.
You deconstruct %s.|deconstruye %s.
You devour %s%s!|¡Devour %s%s!
You devour the vestiges of %s's existence in your flames.|Devoras los vestigios de la existencia de %s en tus llamas.
You dig through %s.|cava a través de %s.
You drain %s %s.|drena %s %s.
You draw out an echo of %s.|Sacas un eco de %s.
You enter into single combat with %s!|Entras en combate único con %s!
You escape %s grasp.|escapas de %s.
You extract %smagical energy from the potion.|Extrae energía %smagical de la poción.
You fail to reach past %s.|No alcanzas más allá de %s.
You fall into the %s!|¡Te caes en el %s!
You feel %s %s|Siente %s %s
You feel %sdrained.|Te sientes %sdrained.
You feel %sfirmly anchored in space.|siente %sfirmly anclado en el espacio.
You feel a %ssurge of power%s|siente un %ssurge of power%s
You feel a bond with %s.|Siente un vínculo con %s.
You feel life coursing into your body%s|siente la vida coursing en tu cuerpo%s
You feel magic leave your %s.|Siente magia dejar tu %s.
You feel magic pooling in your %s.|Te sientes mágica en tu %s.
You feel%s invigorated.|Siente que Ph1 se revitalizó.
You feel%sguilty.|Siente a Ph1guilty.
You fester in the toxic bog%s|fester en el bog%s tóxico
You finish %s %s.|Acabas %s %s.
You finish imprinting the physical structure of %s upon your paragon.|Acabas de imprimir la estructura física de %s en tu paragon.
You focus your ray upon %s.|Centra tu rayo en %s.
You freeze %s%s%s|Congela %s%s%s
You grasp %s shadow with your own and put on a performance!|agarra la sombra %s con tu propio y poner en una actuación!
You have %d gold piece%s.|tiene %d oro pedazo%s.
You have %s %s.|Tiene %s %s.
You have %s a buggy card!|¡Tienes %s una tarjeta de buggy!
You have finished your manual of %s and %stoss it away.|ha terminado tu manual de %s y %stoss lejos.
You heal %s.|curas a %s.
You insert the %s rune into the lock.|Inserta la capa %s en la cerradura.
You knock %s out of %s grip!|¡Nombras a %s fuera de la empuñadura de %s!
You learned that %s %s actually %s.|Aprendiste que %s %s en realidad %s.
You lock target on %s and prepare to deploy your bee.|Cierra el blanco en %s y prepárate para desplegar tu abeja.
You lose your grip on %s soul.|Pierdes el control sobre el alma %s.
